id,product_brand,product_name,discounted_price,original_price,product_rating,product_rating_count,image_url,product_url
28486380,SANSKAR,Printed Cotton Saree,Rs. 999,Rs. 9990,3.8,95,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28486380/2024/3/24/9d69fd2f-35cb-4be4-9491-8b9e9e90aa6b1711277566533SANSKARBlackCottonIkkatZariBorderedPrintedSaree1.jpg",https://www.myntra.com/sarees/sanskar/sanskar-printed-zari-cotton-saree/28486380/buy
30899978,Kriyansh,Woven Design Kanjeevaram Saree,Rs. 1794,Rs. 17949,2,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/11/bUS2IynV_d1ce1a00beab4781a5f5c5c9427f3cc6.jpg",https://www.myntra.com/sarees/kriyansh/kriyansh-woven-design-zari-pure-silk-kanjeevaram-saree/30899978/buy
21739018,VAIRAGEE,Embellished Sequinned Saree,Rs. 999,Rs. 9999,3.9,209,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21739018/2023/2/14/aa9cb9f6-a9f5-4fe1-91b3-b9104c0817291676353583007-VAIRAGEE-Embellished-Striped-Sequinned-Saree-869167635358228-1.jpg",https://www.myntra.com/sarees/vairagee/vairagee-embellished-striped-sequinned-saree/21739018/buy
30899680,Kriyansh,Woven Design Kanjeevaram Saree,Rs. 1799,Rs. 17999,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/11/2XbmsFcB_1533beb1c8eb4826abc145541aac6e6e.jpg",https://www.myntra.com/sarees/kriyansh/kriyansh-woven-design-zari-kanjeevaram-saree-with-blouse/30899680/buy
25022062,DIVASTRI,Woven Design Banarasi Saree,Rs. 640,Rs. 6400,3.6,19,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25022062/2023/9/18/03442d9b-ec30-480f-84fe-c91f144a31a51695011998802DIVASTRIBurgundyGold-TonedEthnicMotifsZariSilkBlendBanarasiS1.jpg",https://www.myntra.com/sarees/divastri/divastri-ethnic-motifs-woven-design-zari-banarasi-saree/25022062/buy
25022060,DIVASTRI,Woven Design Banarasi Saree,Rs. 640,Rs. 6400,3.7,20,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25022060/2023/9/18/718c80dd-230a-47df-a762-d57d958dcf721695011995518DIVASTRINavyBlueGold-TonedWovenDesignZariSilkBlendBanarasiSa1.jpg",https://www.myntra.com/sarees/divastri/divastri-ethnic-motifs-woven-design-zari-banarasi-saree/25022060/buy
27733568,SANSKAR,Pure Georgette Saree,Rs. 1427,Rs. 14270,4.1,57,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27733568/2024/2/21/b21c7609-3246-463f-b418-fdb05b8fc2831708455141357Sarees1.jpg",https://www.myntra.com/sarees/sanskar/sanskar-zari-pure-georgette-saree/27733568/buy
28875264,Mitera,Printed Ready To Wear Saree,Rs. 1169,Rs. 8999,3.7,152,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28875264/2024/4/11/2d091165-9f49-4bf7-897a-a6c881f781a41712845989241PinkDyedReadyToWearSareeUnstitchedBlousePiece1.jpg",https://www.myntra.com/sarees/mitera/mitera-pink--blue-ombre-printed-ready-to-wear-saree/28875264/buy
30857151,DIVASTRI,Woven Design Banarasi Silk Blend Saree,Rs. 595,Rs. 5959,4,5,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/7/Vr9AxZtd_0d1879bf65e34d798dcc67b423c2e644.jpg",https://www.myntra.com/sarees/divastri/divastri-woven-design-zari-silk-blend-half-and-half-banarasi-saree/30857151/buy
25017450,DIVASTRI,Woven Design Banarasi Saree,Rs. 640,Rs. 6400,3.7,20,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25017450/2023/9/18/885616c5-0b99-431e-aff3-124c2c24a2751694985047315DIVASTRIGreyGold-TonedWovenDesignZariSilkBlendBanarasiSaree1.jpg",https://www.myntra.com/sarees/divastri/divastri-ethnic-motifs-woven-design-zari-banarasi-saree/25017450/buy
26197944,SANSKAR,Embellished Detail Saree,Rs. 1999,Rs. 19990,3.6,22,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26197944/2023/12/2/bab60253-2c3a-4cbc-95cc-da511f3a6a551701515247438SANSKARRedGold-TonedEmbellishedBeadsandStonesSaree1.jpg",https://www.myntra.com/sarees/sanskar/sanskar-embellished-beads-and-stones-saree/26197944/buy
25017454,DIVASTRI,Woven Design Banarasi Saree,Rs. 640,Rs. 6400,3.6,16,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25017454/2023/9/17/990e3477-cabe-41f3-84be-6044887c31d01694931068010DIVASTRIRedGold-TonedWovenDesignZariSilkBlendBanarasiSaree1.jpg",https://www.myntra.com/sarees/divastri/divastri-ethnic-motifs-woven-design-zari-banarasi-saree/25017454/buy
30857154,DIVASTRI,Woven Design Banarasi Silk Blend Saree,Rs. 595,Rs. 5959,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/7/2IWqFHhM_7280d4dfe4b2463b94a894bc3632d69f.jpg",https://www.myntra.com/sarees/divastri/divastri-woven-design-zari-silk-blend-banarasi-saree/30857154/buy
24203174,DIVASTRI,Banarasi Zari Saree,Rs. 986,Rs. 9869,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24203174/2023/7/26/1d49f4a8-7b2c-4272-8e4e-15df0fc856521690350832513FloralPatternWovenDesignwithZariBorderBanarasiArtSilkSaree1.jpg",https://www.myntra.com/sarees/divastri/divastri-floral-woven-design-zari-banarasi-saree/24203174/buy
24203184,DIVASTRI,Zari Banarasi Saree,Rs. 929,Rs. 9299,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24203184/2023/7/26/97cbde99-89bb-4a9d-8a17-89092d33a3421690350838105FloralPatternWovenDesignwithZariBorderBanarasiArtSilkSaree1.jpg",https://www.myntra.com/sarees/divastri/divastri-woven-design-zari-banarasi-saree/24203184/buy
26514668,Kalista,Embellished Satin Saree,Rs. 1280,Rs. 12806,No Rating,0 reviews,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26514668/2023/12/19/d1b3b8a6-0810-46cc-ac49-a93de7a611b81702987736232KalistaGold-TonedEmbellishedBeadsandStonesSatinDesignerSaree1.jpg",https://www.myntra.com/sarees/kalista/kalista-gold-toned-embellished-beads-and-stones-satin-saree/26514668/buy
